playlist_id,track_id
25,13805
25,7035
25,2336
25,16663
25,4720
25,19967
25,12384
25,14635
25,11112
25,5630
25,19390
25,20500
25,460
25,0
25,13637
25,4910
25,89
29,17056
29,16912
29,14907
29,4148
29,15430
29,4543
29,16387
29,20366
29,17200
29,4366
29,19814
29,8356
29,2472
29,8169
29,4743
29,11258
29,4916
29,7645
29,9003
29,6606
29,18669
29,18904
29,13364
50,14417
50,19813
50,5281
50,6245
50,2388
50,13452
50,153
50,18159
50,412
50,10496
50,13757
52,9645
52,18763
52,2090
52,4184
52,14258
52,1232
52,10930
52,9530
52,16970
52,4812
52,18059
52,7131
52,9436
52,8885
52,6529
52,14345
52,1710
52,16297
52,3129
52,20365
60,18377
60,4757
60,4640
60,14671
60,20491
60,12550
60,3855
60,3750
60,10682
60,12972
60,6098
64,2595
64,16869
64,3287
64,16815
64,14358
64,15622
64,3646
64,11676
64,7341
64,3564
64,4271
64,519
64,20143
64,672
64,10746
80,9168
80,13987
80,10454
80,17438
80,6465
80,19399
80,11063
80,15327
80,5683
80,3503
80,9067
80,9086
80,12173
80,17764
80,10841
80,6283
80,15312
80,16585
80,9060
80,13358
80,9961
80,18289
80,6
106,4482
106,15259
106,20197
106,2272
106,13216
106,16454
106,6214
106,12488
106,19009
106,20359
106,6489
106,11369
106,13595
106,260
149,19662
149,13237
149,8560
149,8956
149,14395
149,8229
149,4444
149,4460
149,12563
149,17597
149,16236
149,6294
149,4809
149,16517
149,6981
149,15578
149,6000
149,7796
149,8066
169,8500
169,15159
169,16311
169,1012
169,11635
169,10238
169,12929
169,11547
169,5971
169,19776
169,13592
210,2132
210,2980
210,5023
210,10691
210,9623
210,9457
210,9804
210,13622
210,14255
210,10339
210,18875
210,16331
231,12769
231,12688
231,19890
231,10491
231,15447
231,14193
231,4089
231,7039
231,17897
231,19169
231,16930
231,17309
231,17586
231,12783
231,20167
231,6664
256,4451
256,8218
256,8415
256,7544
256,2730
256,11489
256,1944
256,8725
256,1949
256,20544
256,8932
256,13819
256,8355
256,18475
256,12972
256,9900
256,3445
258,18728
258,20018
258,15570
258,2511
258,13237
258,11119
258,8956
258,5903
258,13980
258,3729
258,1534
258,18637
258,17096
258,5881
258,15670
258,3539
258,19734
265,15640
265,6589
265,7421
265,11877
265,18262
265,7025
265,2665
265,19364
265,7748
265,15617
265,12610
265,12618
265,7515
265,9259
265,2008
265,9457
265,1290
265,10074
265,7324
265,2867
272,4070
272,9246
272,3242
272,19973
272,209
272,10442
272,13347
272,12760
275,20321
275,16820
275,11850
275,14777
275,18649
275,19422
275,3885
275,573
275,1746
275,11070
275,15078
275,16249
275,7854
275,13139
275,2412
275,2037
275,18381
275,4795
310,1909
310,15779
310,12393
310,5924
310,13542
310,6080
310,20242
310,17459
310,956
310,14668
310,9913
310,14765
310,1740
310,18191
310,7238
310,8275
310,5047
310,682
310,20023
310,1063
310,12311
310,9180
310,15807
326,12467
326,7009
326,11070
326,3078
326,9974
326,15400
326,10269
326,797
326,667
326,13368
326,19080
365,6433
365,11740
365,19167
365,13506
365,3007
365,9491
365,11715
365,14360
365,4180
365,17925
365,8849
365,2153
365,3876
365,2581
365,1951
365,9154
365,6220
407,14070
407,19476
407,1813
407,15464
407,19924
407,3403
407,15065
407,6077
407,14737
407,943
407,16098
407,3320
407,12718
407,6915
407,18384
422,6618
422,2989
422,3021
422,9886
422,2583
422,2290
422,19300
422,4434
422,8661
422,3244
422,3258
422,16175
422,12703
422,11176
422,10639
422,15753
422,15585
422,877
422,8146
422,15310
422,1585
422,16457
455,10989
455,15974
455,7953
455,9507
455,14673
455,7066
455,2719
455,11020
455,20506
455,11390
455,17396
455,7844
455,18751
455,15485
455,8333
455,323
455,1054
455,16430
455,10316
455,10368
455,15597
455,12365
455,16844
455,14699
455,2631
470,8767
470,8539
470,4910
470,9337
470,8145
470,7475
470,8831
470,18428
470,20167
470,3811
470,16435
470,6472
470,12881
470,10313
470,11943
470,6893
492,16705
492,12393
492,6743
492,20028
492,15167
492,9963
492,5661
492,4052
492,19904
492,16912
492,694
492,8138
492,8275
492,2765
492,15498
492,17597
492,16236
492,12315
492,17239
492,14338
492,10270
492,14248
497,1144
497,11255
497,11070
497,16045
497,18074
497,11164
497,10706
497,216
497,15920
497,15005
497,5639
497,9447
497,20555
497,8852
497,4403
497,9705
497,11750
497,19939
497,18495
497,17881
497,1913
497,12262
505,11214
505,8483
505,11506
505,5221
505,13185
505,9285
505,10208
505,1330
505,4111
505,5817
505,8440
505,3182
505,13157
505,18067
505,5481
505,16457
505,13862
505,8302
505,6425
505,4916
505,14243
505,12075
505,9037
529,13281
529,2497
529,10706
529,6591
529,7751
529,9635
529,13704
529,20167
529,18876
529,14826
529,10848
529,15248
529,10675
537,20617
537,4878
537,2352
537,10370
537,15661
537,8902
537,17707
537,8760
537,2955
537,11421
537,20362
537,12345
537,13708
537,1066
545,5778
545,16697
545,20254
545,11282
545,1041
545,7000
545,18854
545,13155
545,3535
564,1466
564,10585
564,6112
564,7622
564,16521
564,3624
564,18944
564,11206
564,8047
564,18203
564,11831
564,11510
564,11445
564,3761
564,18329
564,10084
564,3552
564,12446
564,9621
564,7453
564,1337
564,18824
567,6786
567,11016
567,15330
567,14673
567,12305
567,13573
567,13276
567,11020
567,16844
592,5098
592,17200
592,14736
592,17820
592,228
592,7544
592,18937
592,8466
592,7114
611,10496
611,20287
611,14581
611,14322
611,6823
611,19426
611,1489
611,11740
611,18262
611,5463
611,14097
611,5036
611,19078
611,4954
611,1909
611,16083
611,5737
615,13923
615,2887
615,13276
615,10561
615,13573
615,5174
615,9139
615,8720
615,18424
615,18611
615,14075
615,7968
615,851
615,10386
615,16953
615,8668
615,18747
615,9976
615,139
615,4886
615,4072
615,13954
619,7031
619,11489
619,19265
619,10089
619,1508
619,14439
619,11572
619,2649
619,4180
619,19929
619,3698
619,7547
619,15651
619,14471
619,11268
619,13531
619,6920
619,6098
619,14443
619,7594
